Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "blip_mc_dnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 10,
  "num_classes": 10,
  "rnn_config": {
    "ninp": 1,
    "nhid": 1000,
    "nlayers": 3,
    "nclasses": 10
  },
  "dnn_config": {
    "layers": [
      300,
      200,
      100,
      10
    ]
  },
  "batch_size": 32,
  "num_epochs": 100,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=10, out_features=300, bias=True)
    (1): Linear(in_features=300, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=10, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[29/100] | Loss:0.0072 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9957 | C 1:0.9932 | C 2:0.9920| C 3:0.9916| C 4:0.9921| C 5:0.9924| C 6:0.9943| C 7:0.9933| C 8:0.9907| C 9:0.9921| C 10:nan| C 11:nan
Epoch[30/100] | Loss:0.0067 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9960 | C 1:0.9937 | C 2:0.9926| C 3:0.9922| C 4:0.9927| C 5:0.9930| C 6:0.9947| C 7:0.9938| C 8:0.9914| C 9:0.9927| C 10:nan| C 11:nan
Epoch[31/100] | Loss:0.0062 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9963 | C 1:0.9942 | C 2:0.9931| C 3:0.9928| C 4:0.9932| C 5:0.9935| C 6:0.9951| C 7:0.9942| C 8:0.9920| C 9:0.9932| C 10:nan| C 11:nan
Epoch[32/100] | Loss:0.0058 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9965 | C 1:0.9946 | C 2:0.9936| C 3:0.9933| C 4:0.9937| C 5:0.9940| C 6:0.9954| C 7:0.9946| C 8:0.9926| C 9:0.9937| C 10:nan| C 11:nan
Epoch[33/100] | Loss:0.0054 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9968 | C 1:0.9950 | C 2:0.9940| C 3:0.9938| C 4:0.9941| C 5:0.9944| C 6:0.9957| C 7:0.9950| C 8:0.9931| C 9:0.9941| C 10:nan| C 11:nan
Epoch[34/100] | Loss:0.0050 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9970 | C 1:0.9953 | C 2:0.9944| C 3:0.9942| C 4:0.9945| C 5:0.9947| C 6:0.9960| C 7:0.9953| C 8:0.9935| C 9:0.9945| C 10:nan| C 11:nan
Epoch[35/100] | Loss:0.0047 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9972 | C 1:0.9956 | C 2:0.9948| C 3:0.9946| C 4:0.9948| C 5:0.9951| C 6:0.9963| C 7:0.9956| C 8:0.9939| C 9:0.9949| C 10:nan| C 11:nan
Epoch[36/100] | Loss:0.0044 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9973 | C 1:0.9959 | C 2:0.9951| C 3:0.9949| C 4:0.9952| C 5:0.9954| C 6:0.9965| C 7:0.9959| C 8:0.9943| C 9:0.9952| C 10:nan| C 11:nan
Epoch[37/100] | Loss:0.0041 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9975 | C 1:0.9961 | C 2:0.9954| C 3:0.9952| C 4:0.9955| C 5:0.9957| C 6:0.9967| C 7:0.9961| C 8:0.9947| C 9:0.9955| C 10:nan| C 11:nan
Epoch[38/100] | Loss:0.0039 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9976 | C 1:0.9964 | C 2:0.9957| C 3:0.9955| C 4:0.9957| C 5:0.9960| C 6:0.9969| C 7:0.9964| C 8:0.9950| C 9:0.9958| C 10:nan| C 11:nan
Epoch[39/100] | Loss:0.0036 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9978 | C 1:0.9966 | C 2:0.9960| C 3:0.9958| C 4:0.9960| C 5:0.9962| C 6:0.9971| C 7:0.9966| C 8:0.9953| C 9:0.9960| C 10:nan| C 11:nan
Epoch[40/100] | Loss:0.0034 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9979 | C 1:0.9968 | C 2:0.9962| C 3:0.9961| C 4:0.9962| C 5:0.9964| C 6:0.9973| C 7:0.9968| C 8:0.9956| C 9:0.9963| C 10:nan| C 11:nan
Epoch[41/100] | Loss:0.0032 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9980 | C 1:0.9970 | C 2:0.9964| C 3:0.9963| C 4:0.9965| C 5:0.9966| C 6:0.9974| C 7:0.9970| C 8:0.9958| C 9:0.9965| C 10:nan| C 11:nan
Epoch[42/100] | Loss:0.0030 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9981 | C 1:0.9971 | C 2:0.9966| C 3:0.9965| C 4:0.9967| C 5:0.9968| C 6:0.9976| C 7:0.9971| C 8:0.9961| C 9:0.9967| C 10:nan| C 11:nan
Epoch[43/100] | Loss:0.0029 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9982 | C 1:0.9973 | C 2:0.9968| C 3:0.9967| C 4:0.9968| C 5:0.9970| C 6:0.9977| C 7:0.9973| C 8:0.9963| C 9:0.9969| C 10:nan| C 11:nan
Epoch[44/100] | Loss:0.0027 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9983 | C 1:0.9975 | C 2:0.9970| C 3:0.9969| C 4:0.9970| C 5:0.9972| C 6:0.9979| C 7:0.9974| C 8:0.9965| C 9:0.9971| C 10:nan| C 11:nan
Epoch[45/100] | Loss:0.0026 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9984 | C 1:0.9976 | C 2:0.9972| C 3:0.9971| C 4:0.9972| C 5:0.9973| C 6:0.9980| C 7:0.9976| C 8:0.9967| C 9:0.9972| C 10:nan| C 11:nan
