columns are
Index(['att1', 'att2', 'att3', 'att4', 'att5', 'att6', 'att7', 'att8', 'att9',
       'att10',
       ...
       'att1016', 'att1017', 'att1018', 'att1019', 'att1020', 'att1021',
       'att1022', 'att1023', 'att1024', 'target'],
      dtype='object', length=1025)
Loading test data . . .
Loading meta file . . .
Meta file loaded successfully
Hyperparams:

{
  "loss": "mse",
  "learning_rate": 0.005,
  "num_epochs": 150,
  "num_classes": 5,
  "batch_size": 10,
  "model_save_path": "/Users/prathyushsp/Git/TimeSeriesSaliencyMaps/nte/trained_models//all_bbms/",
  "model_name": "MixedShapes_cnn_mse"
}



Epoch [87/150] 58.00% | Loss: 0.0069 |  Accuracy: 0.99 | Confidence: 0.93
Epoch [88/150] 58.67% | Loss: 0.0068 |  Accuracy: 0.99 | Confidence: 0.93
Epoch [89/150] 59.33% | Loss: 0.0065 |  Accuracy: 0.99 | Confidence: 0.93
Epoch [90/150] 60.00% | Loss: 0.0082 |  Accuracy: 0.98 | Confidence: 0.93
Epoch [91/150] 60.67% | Loss: 0.0087 |  Accuracy: 0.98 | Confidence: 0.92
Epoch [92/150] 61.33% | Loss: 0.0126 |  Accuracy: 0.97 | Confidence: 0.93
Epoch [93/150] 62.00% | Loss: 0.0089 |  Accuracy: 0.98 | Confidence: 0.93
Epoch [94/150] 62.67% | Loss: 0.0104 |  Accuracy: 0.97 | Confidence: 0.92
Epoch [95/150] 63.33% | Loss: 0.0182 |  Accuracy: 0.95 | Confidence: 0.91
Epoch [96/150] 64.00% | Loss: 0.0137 |  Accuracy: 0.98 | Confidence: 0.92
Epoch [97/150] 64.67% | Loss: 0.0106 |  Accuracy: 0.97 | Confidence: 0.94
Epoch [98/150] 65.33% | Loss: 0.0128 |  Accuracy: 0.96 | Confidence: 0.93
Epoch [99/150] 66.00% | Loss: 0.0124 |  Accuracy: 0.97 | Confidence: 0.92
Epoch [100/150] 66.67% | Loss: 0.0091 |  Accuracy: 0.98 | Confidence: 0.94
Epoch [101/150] 67.33% | Loss: 0.0082 |  Accuracy: 0.98 | Confidence: 0.94
Epoch [102/150] 68.00% | Loss: 0.0068 |  Accuracy: 0.99 | Confidence: 0.94
Epoch [103/150] 68.67% | Loss: 0.0035 |  Accuracy: 1.00 | Confidence: 0.94
Epoch [104/150] 69.33% | Loss: 0.0034 |  Accuracy: 0.99 | Confidence: 0.95
Epoch [105/150] 70.00% | Loss: 0.0026 |  Accuracy: 0.99 | Confidence: 0.96
Epoch [106/150] 70.67% | Loss: 0.0060 |  Accuracy: 0.98 | Confidence: 0.96
Epoch [107/150] 71.33% | Loss: 0.0042 |  Accuracy: 0.99 | Confidence: 0.96
Epoch [108/150] 72.00% | Loss: 0.0034 |  Accuracy: 1.00 | Confidence: 0.95
Epoch [109/150] 72.67% | Loss: 0.0047 |  Accuracy: 0.99 | Confidence: 0.97
Epoch [110/150] 73.33% | Loss: 0.0054 |  Accuracy: 0.99 | Confidence: 0.96
Epoch [111/150] 74.00% | Loss: 0.0029 |  Accuracy: 0.99 | Confidence: 0.96
Epoch [112/150] 74.67% | Loss: 0.0015 |  Accuracy: 1.00 | Confidence: 0.96
Epoch [113/150] 75.33% | Loss: 0.0017 |  Accuracy: 1.00 | Confidence: 0.96
Epoch [114/150] 76.00% | Loss: 0.0023 |  Accuracy: 1.00 | Confidence: 0.96
Epoch [115/150] 76.67% | Loss: 0.0042 |  Accuracy: 0.99 | Confidence: 0.97
Epoch [116/150] 77.33% | Loss: 0.0017 |  Accuracy: 1.00 | Confidence: 0.96
Epoch [117/150] 78.00% | Loss: 0.0090 |  Accuracy: 0.97 | Confidence: 0.97
Epoch [118/150] 78.67% | Loss: 0.0065 |  Accuracy: 0.99 | Confidence: 0.94
Epoch [119/150] 79.33% | Loss: 0.0098 |  Accuracy: 0.97 | Confidence: 0.96
Epoch [120/150] 80.00% | Loss: 0.0061 |  Accuracy: 0.98 | Confidence: 0.95
Epoch [121/150] 80.67% | Loss: 0.0105 |  Accuracy: 0.96 | Confidence: 0.94
Epoch [122/150] 81.33% | Loss: 0.0110 |  Accuracy: 0.96 | Confidence: 0.95
Epoch [123/150] 82.00% | Loss: 0.0095 |  Accuracy: 0.98 | Confidence: 0.95
Epoch [124/150] 82.67% | Loss: 0.0043 |  Accuracy: 0.99 | Confidence: 0.96
Epoch [125/150] 83.33% | Loss: 0.0025 |  Accuracy: 0.99 | Confidence: 0.97
Epoch [126/150] 84.00% | Loss: 0.0017 |  Accuracy: 1.00 | Confidence: 0.96
Epoch [127/150] 84.67% | Loss: 0.0028 |  Accuracy: 0.99 | Confidence: 0.97
Epoch [128/150] 85.33% | Loss: 0.0023 |  Accuracy: 0.99 | Confidence: 0.97
Epoch [129/150] 86.00% | Loss: 0.0044 |  Accuracy: 0.99 | Confidence: 0.96
Epoch [130/150] 86.67% | Loss: 0.0033 |  Accuracy: 1.00 | Confidence: 0.95
Epoch [131/150] 87.33% | Loss: 0.0021 |  Accuracy: 1.00 | Confidence: 0.96
Epoch [132/150] 88.00% | Loss: 0.0019 |  Accuracy: 1.00 | Confidence: 0.96
Epoch [133/150] 88.67% | Loss: 0.0022 |  Accuracy: 1.00 | Confidence: 0.96
Epoch [134/150] 89.33% | Loss: 0.0014 |  Accuracy: 1.00 | Confidence: 0.97
Epoch [135/150] 90.00% | Loss: 0.0009 |  Accuracy: 1.00 | Confidence: 0.97
Epoch [136/150] 90.67% | Loss: 0.0008 |  Accuracy: 1.00 | Confidence: 0.97
Epoch [137/150] 91.33% | Loss: 0.0006 |  Accuracy: 1.00 | Confidence: 0.97
Epoch [138/150] 92.00% | Loss: 0.0006 |  Accuracy: 1.00 | Confidence: 0.97
Epoch [139/150] 92.67% | Loss: 0.0006 |  Accuracy: 1.00 | Confidence: 0.97
Epoch [140/150] 93.33% | Loss: 0.0005 |  Accuracy: 1.00 | Confidence: 0.98
Epoch [141/150] 94.00% | Loss: 0.0005 |  Accuracy: 1.00 | Confidence: 0.98
Epoch [142/150] 94.67% | Loss: 0.0005 |  Accuracy: 1.00 | Confidence: 0.98
Epoch [143/150] 95.33% | Loss: 0.0005 |  Accuracy: 1.00 | Confidence: 0.98
Epoch [144/150] 96.00% | Loss: 0.0004 |  Accuracy: 1.00 | Confidence: 0.98
Epoch [145/150] 96.67% | Loss: 0.0004 |  Accuracy: 1.00 | Confidence: 0.98
Epoch [146/150] 97.33% | Loss: 0.0004 |  Accuracy: 1.00 | Confidence: 0.98
Epoch [147/150] 98.00% | Loss: 0.0004 |  Accuracy: 1.00 | Confidence: 0.98
Epoch [148/150] 98.67% | Loss: 0.0004 |  Accuracy: 1.00 | Confidence: 0.98
Epoch [149/150] 99.33% | Loss: 0.0004 |  Accuracy: 1.00 | Confidence: 0.98
Epoch [150/150] 100.00% | Loss: 0.0004 |  Accuracy: 1.00 | Confidence: 0.98
Test Accuracy 79.91752577319588 | Confidence {1: 0.98, 4: 0.98, 3: 0.86, 0: 0.96, 2: 0.92}
