prathyushsp@Prathyushs-MacBook-Pro ~/G/TimeSeriesSaliencyMaps (test-lmux)> /Users/prathyushsp/anaconda3/envs/py36/bin/python3 /Users/prathyushsp/Git/TimeSeriesSaliencyMaps/nte/bbm_model_trainer.py
Loading train data . . .
columns are
Index(['att1', 'att2', 'att3', 'att4', 'att5', 'att6', 'att7', 'att8', 'att9',
       'att10',
       ...
       'att1452', 'att1453', 'att1454', 'att1455', 'att1456', 'att1457',
       'att1458', 'att1459', 'att1460', 'target'],
      dtype='object', length=1461)
Loading test data . . .
Loading meta file . . .
Meta file loaded successfully
Hyperparams:

{
  "loss": "ce",
  "learning_rate": 0.001,
  "num_epochs": 500,
  "num_classes": 10,
  "batch_size": 32,
  "model_save_path": "/Users/prathyushsp/Git/TimeSeriesSaliencyMaps/nte/trained_models//all_bbms/",
  "model_name": "ACSF_cnn_mse"
}



Epoch [125/500] 25.00% | Loss: 0.5275 |  Accuracy: 0.86 | Confidence: 0.75
Epoch [126/500] 25.20% | Loss: 0.4986 |  Accuracy: 0.87 | Confidence: 0.76
Epoch [127/500] 25.40% | Loss: 0.5183 |  Accuracy: 0.86 | Confidence: 0.76
Epoch [128/500] 25.60% | Loss: 0.4616 |  Accuracy: 0.87 | Confidence: 0.78
Epoch [129/500] 25.80% | Loss: 0.5008 |  Accuracy: 0.85 | Confidence: 0.76
Epoch [130/500] 26.00% | Loss: 0.5033 |  Accuracy: 0.88 | Confidence: 0.75
Epoch [131/500] 26.20% | Loss: 0.4980 |  Accuracy: 0.87 | Confidence: 0.76
Epoch [132/500] 26.40% | Loss: 0.4909 |  Accuracy: 0.84 | Confidence: 0.77
Epoch [133/500] 26.60% | Loss: 0.4799 |  Accuracy: 0.88 | Confidence: 0.77
Epoch [134/500] 26.80% | Loss: 0.4960 |  Accuracy: 0.84 | Confidence: 0.77
Epoch [135/500] 27.00% | Loss: 0.4971 |  Accuracy: 0.88 | Confidence: 0.75
Epoch [136/500] 27.20% | Loss: 0.4897 |  Accuracy: 0.87 | Confidence: 0.77
Epoch [137/500] 27.40% | Loss: 0.4850 |  Accuracy: 0.84 | Confidence: 0.78
Epoch [138/500] 27.60% | Loss: 0.4988 |  Accuracy: 0.87 | Confidence: 0.77
Epoch [139/500] 27.80% | Loss: 0.4870 |  Accuracy: 0.87 | Confidence: 0.77
Epoch [140/500] 28.00% | Loss: 0.4818 |  Accuracy: 0.88 | Confidence: 0.76
Epoch [141/500] 28.20% | Loss: 0.4948 |  Accuracy: 0.87 | Confidence: 0.77
Epoch [142/500] 28.40% | Loss: 0.4779 |  Accuracy: 0.88 | Confidence: 0.77
Epoch [143/500] 28.60% | Loss: 0.4826 |  Accuracy: 0.88 | Confidence: 0.78
Epoch [144/500] 28.80% | Loss: 0.4918 |  Accuracy: 0.87 | Confidence: 0.77
Epoch [145/500] 29.00% | Loss: 0.4668 |  Accuracy: 0.87 | Confidence: 0.78
Epoch [146/500] 29.20% | Loss: 0.4556 |  Accuracy: 0.88 | Confidence: 0.77
Epoch [147/500] 29.40% | Loss: 0.4499 |  Accuracy: 0.88 | Confidence: 0.78
Epoch [148/500] 29.60% | Loss: 0.4541 |  Accuracy: 0.88 | Confidence: 0.78
Epoch [149/500] 29.80% | Loss: 0.4785 |  Accuracy: 0.88 | Confidence: 0.78
Epoch [150/500] 30.00% | Loss: 0.4558 |  Accuracy: 0.86 | Confidence: 0.79
Epoch [151/500] 30.20% | Loss: 0.4560 |  Accuracy: 0.88 | Confidence: 0.78
Epoch [152/500] 30.40% | Loss: 0.4882 |  Accuracy: 0.88 | Confidence: 0.77
Epoch [153/500] 30.60% | Loss: 0.4670 |  Accuracy: 0.85 | Confidence: 0.79
Epoch [154/500] 30.80% | Loss: 0.4604 |  Accuracy: 0.87 | Confidence: 0.79
Epoch [155/500] 31.00% | Loss: 0.4535 |  Accuracy: 0.86 | Confidence: 0.79
Epoch [156/500] 31.20% | Loss: 0.4424 |  Accuracy: 0.88 | Confidence: 0.80
Epoch [157/500] 31.40% | Loss: 0.4661 |  Accuracy: 0.85 | Confidence: 0.80
Epoch [158/500] 31.60% | Loss: 0.4823 |  Accuracy: 0.83 | Confidence: 0.81
Epoch [159/500] 31.80% | Loss: 0.4311 |  Accuracy: 0.88 | Confidence: 0.80
Epoch [160/500] 32.00% | Loss: 0.4286 |  Accuracy: 0.89 | Confidence: 0.78
Epoch [161/500] 32.20% | Loss: 0.4644 |  Accuracy: 0.89 | Confidence: 0.77
Epoch [162/500] 32.40% | Loss: 0.4577 |  Accuracy: 0.88 | Confidence: 0.79
Epoch [163/500] 32.60% | Loss: 0.4490 |  Accuracy: 0.86 | Confidence: 0.79
Epoch [164/500] 32.80% | Loss: 0.4425 |  Accuracy: 0.90 | Confidence: 0.79
Epoch [165/500] 33.00% | Loss: 0.4374 |  Accuracy: 0.87 | Confidence: 0.80
Epoch [166/500] 33.20% | Loss: 0.4256 |  Accuracy: 0.86 | Confidence: 0.80
Epoch [167/500] 33.40% | Loss: 0.4473 |  Accuracy: 0.88 | Confidence: 0.79
Epoch [168/500] 33.60% | Loss: 0.4369 |  Accuracy: 0.88 | Confidence: 0.79
Epoch [169/500] 33.80% | Loss: 0.3984 |  Accuracy: 0.89 | Confidence: 0.81
Epoch [170/500] 34.00% | Loss: 0.4610 |  Accuracy: 0.88 | Confidence: 0.78
Epoch [171/500] 34.20% | Loss: 0.4476 |  Accuracy: 0.84 | Confidence: 0.81
Epoch [172/500] 34.40% | Loss: 0.4433 |  Accuracy: 0.90 | Confidence: 0.78
Epoch [173/500] 34.60% | Loss: 0.4174 |  Accuracy: 0.86 | Confidence: 0.82
Epoch [174/500] 34.80% | Loss: 0.4285 |  Accuracy: 0.88 | Confidence: 0.80
Epoch [175/500] 35.00% | Loss: 0.4695 |  Accuracy: 0.87 | Confidence: 0.79
Epoch [176/500] 35.20% | Loss: 0.4363 |  Accuracy: 0.86 | Confidence: 0.80
Epoch [177/500] 35.40% | Loss: 0.4509 |  Accuracy: 0.88 | Confidence: 0.79
Epoch [178/500] 35.60% | Loss: 0.4170 |  Accuracy: 0.87 | Confidence: 0.81
Epoch [179/500] 35.80% | Loss: 0.4152 |  Accuracy: 0.88 | Confidence: 0.81
Epoch [180/500] 36.00% | Loss: 0.4366 |  Accuracy: 0.86 | Confidence: 0.81
Epoch [181/500] 36.20% | Loss: 0.4141 |  Accuracy: 0.88 | Confidence: 0.80
Epoch [182/500] 36.40% | Loss: 0.4188 |  Accuracy: 0.89 | Confidence: 0.79
Epoch [183/500] 36.60% | Loss: 0.4298 |  Accuracy: 0.88 | Confidence: 0.80
Epoch [184/500] 36.80% | Loss: 0.4144 |  Accuracy: 0.88 | Confidence: 0.82
Epoch [185/500] 37.00% | Loss: 0.4230 |  Accuracy: 0.88 | Confidence: 0.81
Epoch [186/500] 37.20% | Loss: 0.4184 |  Accuracy: 0.88 | Confidence: 0.81
Epoch [187/500] 37.40% | Loss: 0.4074 |  Accuracy: 0.88 | Confidence: 0.81
Epoch [188/500] 37.60% | Loss: 0.3983 |  Accuracy: 0.88 | Confidence: 0.81
Epoch [189/500] 37.80% | Loss: 0.4007 |  Accuracy: 0.88 | Confidence: 0.81
Epoch [190/500] 38.00% | Loss: 0.4200 |  Accuracy: 0.90 | Confidence: 0.79
Epoch [191/500] 38.20% | Loss: 0.4251 |  Accuracy: 0.91 | Confidence: 0.79
Epoch [192/500] 38.40% | Loss: 0.4207 |  Accuracy: 0.88 | Confidence: 0.80
Epoch [193/500] 38.60% | Loss: 0.4126 |  Accuracy: 0.88 | Confidence: 0.82
Epoch [194/500] 38.80% | Loss: 0.4071 |  Accuracy: 0.91 | Confidence: 0.80
Epoch [195/500] 39.00% | Loss: 0.4076 |  Accuracy: 0.88 | Confidence: 0.81
Epoch [196/500] 39.20% | Loss: 0.4015 |  Accuracy: 0.85 | Confidence: 0.83
Epoch [197/500] 39.40% | Loss: 0.3908 |  Accuracy: 0.89 | Confidence: 0.82
Epoch [198/500] 39.60% | Loss: 0.3979 |  Accuracy: 0.89 | Confidence: 0.81
Epoch [199/500] 39.80% | Loss: 0.4020 |  Accuracy: 0.89 | Confidence: 0.82
Epoch [200/500] 40.00% | Loss: 0.4043 |  Accuracy: 0.87 | Confidence: 0.82
Epoch [201/500] 40.20% | Loss: 0.4085 |  Accuracy: 0.91 | Confidence: 0.80
Epoch [202/500] 40.40% | Loss: 0.4049 |  Accuracy: 0.88 | Confidence: 0.81
Epoch [203/500] 40.60% | Loss: 0.4101 |  Accuracy: 0.89 | Confidence: 0.81
Epoch [204/500] 40.80% | Loss: 0.4123 |  Accuracy: 0.87 | Confidence: 0.82
Epoch [205/500] 41.00% | Loss: 0.3980 |  Accuracy: 0.88 | Confidence: 0.82
Epoch [206/500] 41.20% | Loss: 0.3900 |  Accuracy: 0.88 | Confidence: 0.81
Epoch [207/500] 41.40% | Loss: 0.3992 |  Accuracy: 0.90 | Confidence: 0.81
Epoch [208/500] 41.60% | Loss: 0.4040 |  Accuracy: 0.87 | Confidence: 0.84
Epoch [209/500] 41.80% | Loss: 0.3958 |  Accuracy: 0.89 | Confidence: 0.83
Epoch [210/500] 42.00% | Loss: 0.4213 |  Accuracy: 0.85 | Confidence: 0.81
Epoch [211/500] 42.20% | Loss: 0.3760 |  Accuracy: 0.88 | Confidence: 0.82
Epoch [212/500] 42.40% | Loss: 0.4127 |  Accuracy: 0.88 | Confidence: 0.82
Epoch [213/500] 42.60% | Loss: 0.3929 |  Accuracy: 0.90 | Confidence: 0.81
Epoch [214/500] 42.80% | Loss: 0.4068 |  Accuracy: 0.88 | Confidence: 0.82
Epoch [215/500] 43.00% | Loss: 0.3910 |  Accuracy: 0.88 | Confidence: 0.83
Epoch [216/500] 43.20% | Loss: 0.3737 |  Accuracy: 0.91 | Confidence: 0.82
Epoch [217/500] 43.40% | Loss: 0.3652 |  Accuracy: 0.91 | Confidence: 0.82
Epoch [218/500] 43.60% | Loss: 0.3805 |  Accuracy: 0.88 | Confidence: 0.82
Epoch [219/500] 43.80% | Loss: 0.3825 |  Accuracy: 0.89 | Confidence: 0.82
Epoch [220/500] 44.00% | Loss: 0.3691 |  Accuracy: 0.90 | Confidence: 0.82
Epoch [221/500] 44.20% | Loss: 0.4005 |  Accuracy: 0.87 | Confidence: 0.83
Epoch [222/500] 44.40% | Loss: 0.3975 |  Accuracy: 0.89 | Confidence: 0.82
Epoch [223/500] 44.60% | Loss: 0.3794 |  Accuracy: 0.91 | Confidence: 0.81
Epoch [224/500] 44.80% | Loss: 0.4010 |  Accuracy: 0.88 | Confidence: 0.82
Epoch [225/500] 45.00% | Loss: 0.3806 |  Accuracy: 0.87 | Confidence: 0.83
Epoch [226/500] 45.20% | Loss: 0.3751 |  Accuracy: 0.89 | Confidence: 0.83
Epoch [227/500] 45.40% | Loss: 0.3835 |  Accuracy: 0.87 | Confidence: 0.83
Epoch [228/500] 45.60% | Loss: 0.3983 |  Accuracy: 0.88 | Confidence: 0.82
Epoch [229/500] 45.80% | Loss: 0.3664 |  Accuracy: 0.90 | Confidence: 0.82
Epoch [230/500] 46.00% | Loss: 0.3901 |  Accuracy: 0.90 | Confidence: 0.81
Epoch [231/500] 46.20% | Loss: 0.3870 |  Accuracy: 0.88 | Confidence: 0.83
Epoch [232/500] 46.40% | Loss: 0.3877 |  Accuracy: 0.90 | Confidence: 0.82
Epoch [233/500] 46.60% | Loss: 0.3769 |  Accuracy: 0.90 | Confidence: 0.82
Epoch [234/500] 46.80% | Loss: 0.3981 |  Accuracy: 0.88 | Confidence: 0.82
Epoch [235/500] 47.00% | Loss: 0.3605 |  Accuracy: 0.89 | Confidence: 0.84
Epoch [236/500] 47.20% | Loss: 0.3668 |  Accuracy: 0.91 | Confidence: 0.83
Epoch [237/500] 47.40% | Loss: 0.4114 |  Accuracy: 0.88 | Confidence: 0.83
Epoch [238/500] 47.60% | Loss: 0.3700 |  Accuracy: 0.89 | Confidence: 0.82
Epoch [239/500] 47.80% | Loss: 0.3575 |  Accuracy: 0.92 | Confidence: 0.82
Epoch [240/500] 48.00% | Loss: 0.3534 |  Accuracy: 0.90 | Confidence: 0.83
Epoch [241/500] 48.20% | Loss: 0.3596 |  Accuracy: 0.91 | Confidence: 0.82
Epoch [242/500] 48.40% | Loss: 0.3857 |  Accuracy: 0.88 | Confidence: 0.83
Epoch [243/500] 48.60% | Loss: 0.3612 |  Accuracy: 0.90 | Confidence: 0.83
