Config: 
 {
  "model_name": "WaferDataset_model_rnn_loss_ce_lr_0.0005_epochs_200",
  "model_save_path": "/home/ramesh/work/TimeSeriesSaliencyMaps/nte/trained_models/all_bbms/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 152,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 200,
  "learning_rate": 0.0005,
  "data_set": "WaferDataset",
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [74/200] | Loss: 0.6924 |  Accuracy: 0.4699 | Prediction Confidence: nan | Class 0:0.5109 | Class 1:0.5238
Epoch [75/200] | Loss: 0.7056 |  Accuracy: 0.5170 | Prediction Confidence: nan | Class 0:0.5139 | Class 1:0.5185
Epoch [76/200] | Loss: 0.6528 |  Accuracy: 0.5980 | Prediction Confidence: nan | Class 0:0.5112 | Class 1:0.5640
Epoch [77/200] | Loss: 0.6936 |  Accuracy: 0.6830 | Prediction Confidence: nan | Class 0:0.5227 | Class 1:0.5326
Epoch [78/200] | Loss: 0.6190 |  Accuracy: 0.7359 | Prediction Confidence: nan | Class 0:0.5251 | Class 1:0.5847
Epoch [79/200] | Loss: 0.6161 |  Accuracy: 0.7314 | Prediction Confidence: 0.60 | Class 0:0.5341 | Class 1:0.6607
Epoch [80/200] | Loss: 0.5540 |  Accuracy: 0.8078 | Prediction Confidence: 0.64 | Class 0:0.5664 | Class 1:0.7073
Epoch [81/200] | Loss: 0.4844 |  Accuracy: 0.8621 | Prediction Confidence: 0.67 | Class 0:0.6122 | Class 1:0.7178
Epoch [82/200] | Loss: 0.4457 |  Accuracy: 0.8464 | Prediction Confidence: nan | Class 0:0.6462 | Class 1:0.7825
Epoch [83/200] | Loss: 0.4147 |  Accuracy: 0.8556 | Prediction Confidence: nan | Class 0:0.6873 | Class 1:0.8048
Epoch [84/200] | Loss: 0.3681 |  Accuracy: 0.8719 | Prediction Confidence: nan | Class 0:0.7298 | Class 1:0.8304
Epoch [85/200] | Loss: 0.3304 |  Accuracy: 0.8850 | Prediction Confidence: 0.81 | Class 0:0.7607 | Class 1:0.8497
Epoch [86/200] | Loss: 0.2973 |  Accuracy: 0.9046 | Prediction Confidence: 0.82 | Class 0:0.7852 | Class 1:0.8636
Epoch [87/200] | Loss: 0.2713 |  Accuracy: 0.9098 | Prediction Confidence: 0.85 | Class 0:0.8135 | Class 1:0.8800
Epoch [88/200] | Loss: 0.2522 |  Accuracy: 0.9163 | Prediction Confidence: 0.86 | Class 0:0.8363 | Class 1:0.8915
Epoch [89/200] | Loss: 0.2374 |  Accuracy: 0.9183 | Prediction Confidence: 0.88 | Class 0:0.8548 | Class 1:0.9014
Epoch [90/200] | Loss: 0.2284 |  Accuracy: 0.9216 | Prediction Confidence: 0.89 | Class 0:0.8685 | Class 1:0.9079
Epoch [91/200] | Loss: 0.2308 |  Accuracy: 0.9183 | Prediction Confidence: 0.90 | Class 0:0.8799 | Class 1:0.9114
Epoch [92/200] | Loss: 0.2647 |  Accuracy: 0.9020 | Prediction Confidence: 0.90 | Class 0:0.8897 | Class 1:0.9064
Epoch [93/200] | Loss: 0.2353 |  Accuracy: 0.9190 | Prediction Confidence: 0.90 | Class 0:0.8864 | Class 1:0.9133
Epoch [94/200] | Loss: 0.2212 |  Accuracy: 0.9255 | Prediction Confidence: 0.90 | Class 0:0.8898 | Class 1:0.9158
Epoch [95/200] | Loss: 0.2035 |  Accuracy: 0.9353 | Prediction Confidence: 0.91 | Class 0:0.8928 | Class 1:0.9210
Epoch [96/200] | Loss: 0.2005 |  Accuracy: 0.9346 | Prediction Confidence: 0.91 | Class 0:0.9040 | Class 1:0.9240
Epoch [97/200] | Loss: 0.1880 |  Accuracy: 0.9379 | Prediction Confidence: 0.92 | Class 0:0.9142 | Class 1:0.9299
Epoch [98/200] | Loss: 0.1726 |  Accuracy: 0.9438 | Prediction Confidence: 0.93 | Class 0:0.9231 | Class 1:0.9335
Epoch [99/200] | Loss: 0.1589 |  Accuracy: 0.9490 | Prediction Confidence: 0.93 | Class 0:0.9309 | Class 1:0.9378
Epoch [100/200] | Loss: 0.1458 |  Accuracy: 0.9503 | Prediction Confidence: 0.94 | Class 0:0.9424 | Class 1:0.9437
Epoch [101/200] | Loss: 0.1359 |  Accuracy: 0.9497 | Prediction Confidence: 0.95 | Class 0:0.9517 | Class 1:0.9504
Epoch [102/200] | Loss: 0.1306 |  Accuracy: 0.9529 | Prediction Confidence: 0.95 | Class 0:0.9566 | Class 1:0.9519
Epoch [103/200] | Loss: 0.1172 |  Accuracy: 0.9582 | Prediction Confidence: 0.96 | Class 0:0.9620 | Class 1:0.9539
Epoch [104/200] | Loss: 0.1089 |  Accuracy: 0.9601 | Prediction Confidence: 0.96 | Class 0:0.9627 | Class 1:0.9586
Epoch [105/200] | Loss: 0.1013 |  Accuracy: 0.9608 | Prediction Confidence: 0.96 | Class 0:0.9652 | Class 1:0.9620
Epoch [106/200] | Loss: 0.0943 |  Accuracy: 0.9634 | Prediction Confidence: 0.97 | Class 0:0.9671 | Class 1:0.9639
Epoch [107/200] | Loss: 0.0881 |  Accuracy: 0.9680 | Prediction Confidence: 0.97 | Class 0:0.9679 | Class 1:0.9650
Epoch [108/200] | Loss: 0.0829 |  Accuracy: 0.9693 | Prediction Confidence: 0.97 | Class 0:0.9703 | Class 1:0.9670
Epoch [109/200] | Loss: 0.0785 |  Accuracy: 0.9699 | Prediction Confidence: 0.97 | Class 0:0.9718 | Class 1:0.9698
Epoch [110/200] | Loss: 0.0748 |  Accuracy: 0.9719 | Prediction Confidence: 0.97 | Class 0:0.9736 | Class 1:0.9704
Epoch [111/200] | Loss: 0.0716 |  Accuracy: 0.9719 | Prediction Confidence: 0.97 | Class 0:0.9750 | Class 1:0.9725
