Config: 
 {
  "model_save_path": "/tmp/",
  "model": "cnn",
  "loss": "ce",
  "model_name": "AtrialFibrilation_mc_cnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 1280,
  "num_classes": 3,
  "num_features": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 75,
    "nlayers": 3,
    "nclasses": 3
  },
  "dnn_config": {
    "layers": [
      2100,
      900,
      300,
      3
    ]
  },
  "cnn_config": {
    "ninp": 1,
    "nlayers": 3,
    "nclasses": 3
  },
  "batch_size": 1,
  "num_epochs": 500,
  "learning_rate": 0.001
}
Model: 
 CNN(
  (cnn_cell): Conv2d(1, 1, kernel_size=(1, 1), stride=(1, 1))
  (fc1): Linear(in_features=1280, out_features=10, bias=True)
  (fc2): Linear(in_features=10, out_features=3, bias=True)
)
Epoch[62/500] | Loss:0.0025 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9972 | C 1:0.9977 | C 2:0.9975| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[63/500] | Loss:0.0024 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9973 | C 1:0.9978 | C 2:0.9976| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[64/500] | Loss:0.0023 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9974 | C 1:0.9979 | C 2:0.9977| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[65/500] | Loss:0.0023 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9975 | C 1:0.9980 | C 2:0.9978| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[66/500] | Loss:0.0022 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9976 | C 1:0.9980 | C 2:0.9979| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[67/500] | Loss:0.0021 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9977 | C 1:0.9981 | C 2:0.9979| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[68/500] | Loss:0.0020 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9977 | C 1:0.9982 | C 2:0.9980| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[69/500] | Loss:0.0020 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9978 | C 1:0.9982 | C 2:0.9981| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[70/500] | Loss:0.0019 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9979 | C 1:0.9983 | C 2:0.9981| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[71/500] | Loss:0.0019 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9979 | C 1:0.9983 | C 2:0.9982| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[72/500] | Loss:0.0018 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9980 | C 1:0.9984 | C 2:0.9982| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[73/500] | Loss:0.0017 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9981 | C 1:0.9984 | C 2:0.9983| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[74/500] | Loss:0.0017 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9981 | C 1:0.9985 | C 2:0.9983| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[75/500] | Loss:0.0016 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9982 | C 1:0.9985 | C 2:0.9984| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[76/500] | Loss:0.0016 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9982 | C 1:0.9986 | C 2:0.9984| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[77/500] | Loss:0.0015 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9983 | C 1:0.9986 | C 2:0.9985| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[78/500] | Loss:0.0015 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9983 | C 1:0.9986 | C 2:0.9985| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[79/500] | Loss:0.0015 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9984 | C 1:0.9987 | C 2:0.9986| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[80/500] | Loss:0.0014 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9984 | C 1:0.9987 | C 2:0.9986| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[81/500] | Loss:0.0014 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9985 | C 1:0.9988 | C 2:0.9986| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[82/500] | Loss:0.0013 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9985 | C 1:0.9988 | C 2:0.9987| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[83/500] | Loss:0.0013 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9986 | C 1:0.9988 | C 2:0.9987| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[84/500] | Loss:0.0013 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9986 | C 1:0.9989 | C 2:0.9987| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[85/500] | Loss:0.0012 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9986 | C 1:0.9989 | C 2:0.9988| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[86/500] | Loss:0.0012 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9987 | C 1:0.9989 | C 2:0.9988| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[87/500] | Loss:0.0012 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9987 | C 1:0.9989 | C 2:0.9988| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[88/500] | Loss:0.0011 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9987 | C 1:0.9990 | C 2:0.9989| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[89/500] | Loss:0.0011 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9988 | C 1:0.9990 | C 2:0.9989| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[90/500] | Loss:0.0011 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9988 | C 1:0.9990 | C 2:0.9989| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[91/500] | Loss:0.0011 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9988 | C 1:0.9990 | C 2:0.9989| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[92/500] | Loss:0.0010 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9989 | C 1:0.9991 | C 2:0.9990| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[93/500] | Loss:0.0010 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9989 | C 1:0.9991 | C 2:0.9990| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[94/500] | Loss:0.0010 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9989 | C 1:0.9991 | C 2:0.9990| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
